config,target,metric,value
weighted+remat+spectral,fixture:hello-world-aarch64,run_median_s,0.000981
weighted+remat+spectral,fixture:hello-world-aarch64,run_min_s,0.000687
eregalloc-c0,fixture:hello-world-aarch64,compile_s,0.145
eregalloc-c0,fixture:hello-world-aarch64,obj_bytes,1728
eregalloc-c0,fixture:hello-world-aarch64,text_bytes,351
eregalloc-c0,fixture:hello-world-aarch64,insns,85
eregalloc-c0,fixture:hello-world-aarch64,ldr_sp,13
eregalloc-c0,fixture:hello-world-aarch64,str_sp,13
eregalloc-c0,fixture:hello-world-aarch64,ldp_sp,0
eregalloc-c0,fixture:hello-world-aarch64,stp_sp,0
eregalloc-c0,fixture:hello-world-aarch64,mov_imm,8
eregalloc-c0,fixture:hello-world-aarch64,objects,1
eregalloc-c0,fixture:hello-world-aarch64,correct,1
eregalloc-c0,fixture:hello-world-aarch64,run_median_s,0.000978
eregalloc-c0,fixture:hello-world-aarch64,run_min_s,0.000654
eregalloc-c0+spectral,fixture:hello-world-aarch64,compile_s,0.135
eregalloc-c0+spectral,fixture:hello-world-aarch64,obj_bytes,1728
eregalloc-c0+spectral,fixture:hello-world-aarch64,text_bytes,351
eregalloc-c0+spectral,fixture:hello-world-aarch64,insns,85
eregalloc-c0+spectral,fixture:hello-world-aarch64,ldr_sp,13
eregalloc-c0+spectral,fixture:hello-world-aarch64,str_sp,13
eregalloc-c0+spectral,fixture:hello-world-aarch64,ldp_sp,0
eregalloc-c0+spectral,fixture:hello-world-aarch64,stp_sp,0
eregalloc-c0+spectral,fixture:hello-world-aarch64,mov_imm,8
eregalloc-c0+spectral,fixture:hello-world-aarch64,objects,1
eregalloc-c0+spectral,fixture:hello-world-aarch64,correct,1
eregalloc-c0+spectral,fixture:hello-world-aarch64,run_median_s,0.000882
eregalloc-c0+spectral,fixture:hello-world-aarch64,run_min_s,0.000554
eregalloc-c2,fixture:hello-world-aarch64,compile_s,0.143
eregalloc-c2,fixture:hello-world-aarch64,obj_bytes,1728
eregalloc-c2,fixture:hello-world-aarch64,text_bytes,351
eregalloc-c2,fixture:hello-world-aarch64,insns,85
eregalloc-c2,fixture:hello-world-aarch64,ldr_sp,13
eregalloc-c2,fixture:hello-world-aarch64,str_sp,13
eregalloc-c2,fixture:hello-world-aarch64,ldp_sp,0
eregalloc-c2,fixture:hello-world-aarch64,stp_sp,0
eregalloc-c2,fixture:hello-world-aarch64,mov_imm,8
eregalloc-c2,fixture:hello-world-aarch64,objects,1
eregalloc-c2,fixture:hello-world-aarch64,correct,1
eregalloc-c2,fixture:hello-world-aarch64,run_median_s,0.001002
eregalloc-c2,fixture:hello-world-aarch64,run_min_s,0.000708
eregalloc-c2+spectral,fixture:hello-world-aarch64,compile_s,0.152
eregalloc-c2+spectral,fixture:hello-world-aarch64,obj_bytes,1728
eregalloc-c2+spectral,fixture:hello-world-aarch64,text_bytes,351
eregalloc-c2+spectral,fixture:hello-world-aarch64,insns,85
eregalloc-c2+spectral,fixture:hello-world-aarch64,ldr_sp,13
eregalloc-c2+spectral,fixture:hello-world-aarch64,str_sp,13
eregalloc-c2+spectral,fixture:hello-world-aarch64,ldp_sp,0
eregalloc-c2+spectral,fixture:hello-world-aarch64,stp_sp,0
eregalloc-c2+spectral,fixture:hello-world-aarch64,mov_imm,8
eregalloc-c2+spectral,fixture:hello-world-aarch64,objects,1
eregalloc-c2+spectral,fixture:hello-world-aarch64,correct,1
eregalloc-c2+spectral,fixture:hello-world-aarch64,run_median_s,0.000743
eregalloc-c2+spectral,fixture:hello-world-aarch64,run_min_s,0.000628
baseline,fixture:fp-aarch64,compile_s,1.657
baseline,fixture:fp-aarch64,obj_bytes,37696
baseline,fixture:fp-aarch64,text_bytes,31243
baseline,fixture:fp-aarch64,insns,7643
baseline,fixture:fp-aarch64,ldr_sp,1666
baseline,fixture:fp-aarch64,str_sp,1625
baseline,fixture:fp-aarch64,ldp_sp,0
baseline,fixture:fp-aarch64,stp_sp,0
baseline,fixture:fp-aarch64,mov_imm,1113
baseline,fixture:fp-aarch64,objects,1
baseline,fixture:fp-aarch64,correct,1
baseline,fixture:fp-aarch64,run_median_s,0.000918
baseline,fixture:fp-aarch64,run_min_s,0.000589
weighted,fixture:fp-aarch64,compile_s,1.653
weighted,fixture:fp-aarch64,obj_bytes,37880
weighted,fixture:fp-aarch64,text_bytes,31431
weighted,fixture:fp-aarch64,insns,7690
weighted,fixture:fp-aarch64,ldr_sp,1680
weighted,fixture:fp-aarch64,str_sp,1658
weighted,fixture:fp-aarch64,ldp_sp,0
weighted,fixture:fp-aarch64,stp_sp,0
weighted,fixture:fp-aarch64,mov_imm,1113
weighted,fixture:fp-aarch64,objects,1
