config,target,metric,value
weighted+remat+spectral,fixture:hello-world-aarch64,correct,1
weighted+remat+spectral,fixture:hello-world-aarch64,run_median_s,0.000868
weighted+remat+spectral,fixture:hello-world-aarch64,run_min_s,0.000788
eregalloc-c0,fixture:hello-world-aarch64,compile_s,0.126
eregalloc-c0,fixture:hello-world-aarch64,obj_bytes,1728
eregalloc-c0,fixture:hello-world-aarch64,text_bytes,351
eregalloc-c0,fixture:hello-world-aarch64,insns,85
eregalloc-c0,fixture:hello-world-aarch64,ldr_sp,13
eregalloc-c0,fixture:hello-world-aarch64,str_sp,13
eregalloc-c0,fixture:hello-world-aarch64,ldp_sp,0
eregalloc-c0,fixture:hello-world-aarch64,stp_sp,0
eregalloc-c0,fixture:hello-world-aarch64,mov_imm,8
eregalloc-c0,fixture:hello-world-aarch64,objects,1
eregalloc-c0,fixture:hello-world-aarch64,correct,1
eregalloc-c0,fixture:hello-world-aarch64,run_median_s,0.000658
eregalloc-c0,fixture:hello-world-aarch64,run_min_s,0.000601
eregalloc-c0+spectral,fixture:hello-world-aarch64,compile_s,0.129
eregalloc-c0+spectral,fixture:hello-world-aarch64,obj_bytes,1728
eregalloc-c0+spectral,fixture:hello-world-aarch64,text_bytes,351
eregalloc-c0+spectral,fixture:hello-world-aarch64,insns,85
eregalloc-c0+spectral,fixture:hello-world-aarch64,ldr_sp,13
eregalloc-c0+spectral,fixture:hello-world-aarch64,str_sp,13
eregalloc-c0+spectral,fixture:hello-world-aarch64,ldp_sp,0
eregalloc-c0+spectral,fixture:hello-world-aarch64,stp_sp,0
eregalloc-c0+spectral,fixture:hello-world-aarch64,mov_imm,8
eregalloc-c0+spectral,fixture:hello-world-aarch64,objects,1
eregalloc-c0+spectral,fixture:hello-world-aarch64,correct,1
eregalloc-c0+spectral,fixture:hello-world-aarch64,run_median_s,0.000911
eregalloc-c0+spectral,fixture:hello-world-aarch64,run_min_s,0.000665
eregalloc-c2,fixture:hello-world-aarch64,compile_s,0.158
eregalloc-c2,fixture:hello-world-aarch64,obj_bytes,1728
eregalloc-c2,fixture:hello-world-aarch64,text_bytes,351
eregalloc-c2,fixture:hello-world-aarch64,insns,85
eregalloc-c2,fixture:hello-world-aarch64,ldr_sp,13
eregalloc-c2,fixture:hello-world-aarch64,str_sp,13
eregalloc-c2,fixture:hello-world-aarch64,ldp_sp,0
eregalloc-c2,fixture:hello-world-aarch64,stp_sp,0
eregalloc-c2,fixture:hello-world-aarch64,mov_imm,8
eregalloc-c2,fixture:hello-world-aarch64,objects,1
eregalloc-c2,fixture:hello-world-aarch64,correct,1
eregalloc-c2,fixture:hello-world-aarch64,run_median_s,0.000914
eregalloc-c2,fixture:hello-world-aarch64,run_min_s,0.000592
eregalloc-c2+spectral,fixture:hello-world-aarch64,compile_s,0.145
eregalloc-c2+spectral,fixture:hello-world-aarch64,obj_bytes,1728
eregalloc-c2+spectral,fixture:hello-world-aarch64,text_bytes,351
eregalloc-c2+spectral,fixture:hello-world-aarch64,insns,85
eregalloc-c2+spectral,fixture:hello-world-aarch64,ldr_sp,13
eregalloc-c2+spectral,fixture:hello-world-aarch64,str_sp,13
eregalloc-c2+spectral,fixture:hello-world-aarch64,ldp_sp,0
eregalloc-c2+spectral,fixture:hello-world-aarch64,stp_sp,0
eregalloc-c2+spectral,fixture:hello-world-aarch64,mov_imm,8
eregalloc-c2+spectral,fixture:hello-world-aarch64,objects,1
eregalloc-c2+spectral,fixture:hello-world-aarch64,correct,1
eregalloc-c2+spectral,fixture:hello-world-aarch64,run_median_s,0.00066
eregalloc-c2+spectral,fixture:hello-world-aarch64,run_min_s,0.000633
baseline,fixture:fp-aarch64,compile_s,1.592
baseline,fixture:fp-aarch64,obj_bytes,37696
baseline,fixture:fp-aarch64,text_bytes,31243
baseline,fixture:fp-aarch64,insns,7643
baseline,fixture:fp-aarch64,ldr_sp,1666
baseline,fixture:fp-aarch64,str_sp,1625
baseline,fixture:fp-aarch64,ldp_sp,0
baseline,fixture:fp-aarch64,stp_sp,0
baseline,fixture:fp-aarch64,mov_imm,1113
baseline,fixture:fp-aarch64,objects,1
baseline,fixture:fp-aarch64,correct,1
baseline,fixture:fp-aarch64,run_median_s,0.000919
baseline,fixture:fp-aarch64,run_min_s,0.000676
weighted,fixture:fp-aarch64,compile_s,1.649
weighted,fixture:fp-aarch64,obj_bytes,37880
weighted,fixture:fp-aarch64,text_bytes,31431
weighted,fixture:fp-aarch64,insns,7690
weighted,fixture:fp-aarch64,ldr_sp,1680
weighted,fixture:fp-aarch64,str_sp,1658
weighted,fixture:fp-aarch64,ldp_sp,0
weighted,fixture:fp-aarch64,stp_sp,0
weighted,fixture:fp-aarch64,mov_imm,1113
weighted,fixture:fp-aarch64,objects,1
weighted,fixture:fp-aarch64,correct,1
weighted,fixture:fp-aarch64,run_median_s,0.000867
weighted,fixture:fp-aarch64,run_min_s,0.000846
weighted+remat,fixture:fp-aarch64,compile_s,1.662
weighted+remat,fixture:fp-aarch64,obj_bytes,41032
weighted+remat,fixture:fp-aarch64,text_bytes,34583
weighted+remat,fixture:fp-aarch64,insns,8478
weighted+remat,fixture:fp-aarch64,ldr_sp,1635
weighted+remat,fixture:fp-aarch64,str_sp,2048
weighted+remat,fixture:fp-aarch64,ldp_sp,0
weighted+remat,fixture:fp-aarch64,stp_sp,0
weighted+remat,fixture:fp-aarch64,mov_imm,1554
weighted+remat,fixture:fp-aarch64,objects,1
weighted+remat,fixture:fp-aarch64,correct,1
weighted+remat,fixture:fp-aarch64,run_median_s,0.00089
weighted+remat,fixture:fp-aarch64,run_min_s,0.000868
weighted+remat+spectral,fixture:fp-aarch64,compile_s,1.668
weighted+remat+spectral,fixture:fp-aarch64,obj_bytes,41072
weighted+remat+spectral,fixture:fp-aarch64,text_bytes,34623
weighted+remat+spectral,fixture:fp-aarch64,insns,8488
weighted+remat+spectral,fixture:fp-aarch64,ldr_sp,1640
weighted+remat+spectral,fixture:fp-aarch64,str_sp,2052
weighted+remat+spectral,fixture:fp-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:fp-aarch64,stp_sp,0
weighted+remat+spectral,fixture:fp-aarch64,mov_imm,1555
weighted+remat+spectral,fixture:fp-aarch64,objects,1
weighted+remat+spectral,fixture:fp-aarch64,correct,1
weighted+remat+spectral,fixture:fp-aarch64,run_median_s,0.000953
weighted+remat+spectral,fixture:fp-aarch64,run_min_s,0.000691
eregalloc-c0,fixture:fp-aarch64,compile_s,2.089
eregalloc-c0,fixture:fp-aarch64,obj_bytes,37696
eregalloc-c0,fixture:fp-aarch64,text_bytes,31247
eregalloc-c0,fixture:fp-aarch64,insns,7644
eregalloc-c0,fixture:fp-aarch64,ldr_sp,1639
eregalloc-c0,fixture:fp-aarch64,str_sp,1633
eregalloc-c0,fixture:fp-aarch64,ldp_sp,0
eregalloc-c0,fixture:fp-aarch64,stp_sp,0
eregalloc-c0,fixture:fp-aarch64,mov_imm,1133
eregalloc-c0,fixture:fp-aarch64,objects,1
eregalloc-c0,fixture:fp-aarch64,correct,1
eregalloc-c0,fixture:fp-aarch64,run_median_s,0.00079
eregalloc-c0,fixture:fp-aarch64,run_min_s,0.00064
eregalloc-c0+spectral,fixture:fp-aarch64,compile_s,2.095
eregalloc-c0+spectral,fixture:fp-aarch64,obj_bytes,37696
eregalloc-c0+spectral,fixture:fp-aarch64,text_bytes,31243
eregalloc-c0+spectral,fixture:fp-aarch64,insns,7643
eregalloc-c0+spectral,fixture:fp-aarch64,ldr_sp,1638
eregalloc-c0+spectral,fixture:fp-aarch64,str_sp,1632
eregalloc-c0+spectral,fixture:fp-aarch64,ldp_sp,0
eregalloc-c0+spectral,fixture:fp-aarch64,stp_sp,0
eregalloc-c0+spectral,fixture:fp-aarch64,mov_imm,1134
eregalloc-c0+spectral,fixture:fp-aarch64,objects,1
eregalloc-c0+spectral,fixture:fp-aarch64,correct,1
eregalloc-c0+spectral,fixture:fp-aarch64,run_median_s,0.001023
eregalloc-c0+spectral,fixture:fp-aarch64,run_min_s,0.000814
eregalloc-c2,fixture:fp-aarch64,compile_s,2.624
eregalloc-c2,fixture:fp-aarch64,obj_bytes,37696
eregalloc-c2,fixture:fp-aarch64,text_bytes,31247
eregalloc-c2,fixture:fp-aarch64,insns,7644
eregalloc-c2,fixture:fp-aarch64,ldr_sp,1639
eregalloc-c2,fixture:fp-aarch64,str_sp,1633
eregalloc-c2,fixture:fp-aarch64,ldp_sp,0
eregalloc-c2,fixture:fp-aarch64,stp_sp,0
eregalloc-c2,fixture:fp-aarch64,mov_imm,1133
eregalloc-c2,fixture:fp-aarch64,objects,1
eregalloc-c2,fixture:fp-aarch64,correct,1
eregalloc-c2,fixture:fp-aarch64,run_median_s,0.000663
eregalloc-c2,fixture:fp-aarch64,run_min_s,0.000635
eregalloc-c2+spectral,fixture:fp-aarch64,compile_s,2.552
eregalloc-c2+spectral,fixture:fp-aarch64,obj_bytes,37696
eregalloc-c2+spectral,fixture:fp-aarch64,text_bytes,31243
eregalloc-c2+spectral,fixture:fp-aarch64,insns,7643
eregalloc-c2+spectral,fixture:fp-aarch64,ldr_sp,1638
eregalloc-c2+spectral,fixture:fp-aarch64,str_sp,1632
eregalloc-c2+spectral,fixture:fp-aarch64,ldp_sp,0
eregalloc-c2+spectral,fixture:fp-aarch64,stp_sp,0
eregalloc-c2+spectral,fixture:fp-aarch64,mov_imm,1134
eregalloc-c2+spectral,fixture:fp-aarch64,objects,1
eregalloc-c2+spectral,fixture:fp-aarch64,correct,1
eregalloc-c2+spectral,fixture:fp-aarch64,run_median_s,0.0009
eregalloc-c2+spectral,fixture:fp-aarch64,run_min_s,0.000648
baseline,fixture:int128-aarch64,compile_s,5.822
baseline,fixture:int128-aarch64,obj_bytes,103648
baseline,fixture:int128-aarch64,text_bytes,89437
baseline,fixture:int128-aarch64,insns,21824
baseline,fixture:int128-aarch64,ldr_sp,4438
baseline,fixture:int128-aarch64,str_sp,4422
baseline,fixture:int128-aarch64,ldp_sp,0
baseline,fixture:int128-aarch64,stp_sp,0
baseline,fixture:int128-aarch64,mov_imm,4073
baseline,fixture:int128-aarch64,objects,1
baseline,fixture:int128-aarch64,correct,1
baseline,fixture:int128-aarch64,run_median_s,0.000676
baseline,fixture:int128-aarch64,run_min_s,0.000637
weighted,fixture:int128-aarch64,compile_s,5.792
weighted,fixture:int128-aarch64,obj_bytes,107096
weighted,fixture:int128-aarch64,text_bytes,92885
weighted,fixture:int128-aarch64,insns,22686
weighted,fixture:int128-aarch64,ldr_sp,4720
weighted,fixture:int128-aarch64,str_sp,5002
weighted,fixture:int128-aarch64,ldp_sp,0
weighted,fixture:int128-aarch64,stp_sp,0
weighted,fixture:int128-aarch64,mov_imm,4073
weighted,fixture:int128-aarch64,objects,1
weighted,fixture:int128-aarch64,correct,1
weighted,fixture:int128-aarch64,run_median_s,0.000776
weighted,fixture:int128-aarch64,run_min_s,0.000745
weighted+remat,fixture:int128-aarch64,compile_s,5.829
weighted+remat,fixture:int128-aarch64,obj_bytes,110144
weighted+remat,fixture:int128-aarch64,text_bytes,95933
weighted+remat,fixture:int128-aarch64,insns,23448
weighted+remat,fixture:int128-aarch64,ldr_sp,4375
