config,target,metric,value
weighted,fixture:itoa-aarch64,mov_imm,700
weighted,fixture:itoa-aarch64,objects,1
weighted,fixture:itoa-aarch64,correct,1
weighted,fixture:itoa-aarch64,run_median_s,0.000331
weighted,fixture:itoa-aarch64,run_min_s,0.000307
weighted+remat,fixture:itoa-aarch64,compile_s,1.319
weighted+remat,fixture:itoa-aarch64,obj_bytes,23144
weighted+remat,fixture:itoa-aarch64,text_bytes,19339
weighted+remat,fixture:itoa-aarch64,insns,4720
weighted+remat,fixture:itoa-aarch64,ldr_sp,922
weighted+remat,fixture:itoa-aarch64,str_sp,740
weighted+remat,fixture:itoa-aarch64,ldp_sp,0
weighted+remat,fixture:itoa-aarch64,stp_sp,0
weighted+remat,fixture:itoa-aarch64,mov_imm,823
weighted+remat,fixture:itoa-aarch64,objects,1
weighted+remat,fixture:itoa-aarch64,correct,1
weighted+remat,fixture:itoa-aarch64,run_median_s,0.000319
weighted+remat,fixture:itoa-aarch64,run_min_s,0.000301
weighted+remat+spectral,fixture:itoa-aarch64,compile_s,1.313
weighted+remat+spectral,fixture:itoa-aarch64,obj_bytes,23144
weighted+remat+spectral,fixture:itoa-aarch64,text_bytes,19339
weighted+remat+spectral,fixture:itoa-aarch64,insns,4720
weighted+remat+spectral,fixture:itoa-aarch64,ldr_sp,922
weighted+remat+spectral,fixture:itoa-aarch64,str_sp,740
weighted+remat+spectral,fixture:itoa-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:itoa-aarch64,stp_sp,0
weighted+remat+spectral,fixture:itoa-aarch64,mov_imm,823
weighted+remat+spectral,fixture:itoa-aarch64,objects,1
weighted+remat+spectral,fixture:itoa-aarch64,correct,1
weighted+remat+spectral,fixture:itoa-aarch64,run_median_s,0.001544
weighted+remat+spectral,fixture:itoa-aarch64,run_min_s,0.000479
baseline,fixture:oc-course,compile_s,0.153
baseline,fixture:oc-course,obj_bytes,1992
baseline,fixture:oc-course,text_bytes,559
baseline,fixture:oc-course,insns,137
baseline,fixture:oc-course,ldr_sp,25
baseline,fixture:oc-course,str_sp,22
baseline,fixture:oc-course,ldp_sp,0
baseline,fixture:oc-course,stp_sp,0
baseline,fixture:oc-course,mov_imm,14
baseline,fixture:oc-course,objects,1
baseline,fixture:oc-course,correct,1
baseline,fixture:oc-course,run_median_s,0.000551
baseline,fixture:oc-course,run_min_s,0.000408
weighted,fixture:oc-course,compile_s,0.143
weighted,fixture:oc-course,obj_bytes,2040
weighted,fixture:oc-course,text_bytes,603
weighted,fixture:oc-course,insns,148
weighted,fixture:oc-course,ldr_sp,30
weighted,fixture:oc-course,str_sp,28
weighted,fixture:oc-course,ldp_sp,0
weighted,fixture:oc-course,stp_sp,0
weighted,fixture:oc-course,mov_imm,14
weighted,fixture:oc-course,objects,1
weighted,fixture:oc-course,correct,1
weighted,fixture:oc-course,run_median_s,0.000397
weighted,fixture:oc-course,run_min_s,0.000376
weighted+remat,fixture:oc-course,compile_s,0.135
weighted+remat,fixture:oc-course,obj_bytes,2040
weighted+remat,fixture:oc-course,text_bytes,603
weighted+remat,fixture:oc-course,insns,148
weighted+remat,fixture:oc-course,ldr_sp,25
weighted+remat,fixture:oc-course,str_sp,28
weighted+remat,fixture:oc-course,ldp_sp,0
weighted+remat,fixture:oc-course,stp_sp,0
weighted+remat,fixture:oc-course,mov_imm,19
weighted+remat,fixture:oc-course,objects,1
weighted+remat,fixture:oc-course,correct,1
weighted+remat,fixture:oc-course,run_median_s,0.000342
weighted+remat,fixture:oc-course,run_min_s,0.000334
weighted+remat+spectral,fixture:oc-course,compile_s,0.16
weighted+remat+spectral,fixture:oc-course,obj_bytes,2040
weighted+remat+spectral,fixture:oc-course,text_bytes,607
weighted+remat+spectral,fixture:oc-course,insns,149
weighted+remat+spectral,fixture:oc-course,ldr_sp,26
weighted+remat+spectral,fixture:oc-course,str_sp,28
weighted+remat+spectral,fixture:oc-course,ldp_sp,0
weighted+remat+spectral,fixture:oc-course,stp_sp,0
weighted+remat+spectral,fixture:oc-course,mov_imm,19
weighted+remat+spectral,fixture:oc-course,objects,1
weighted+remat+spectral,fixture:oc-course,correct,1
weighted+remat+spectral,fixture:oc-course,run_median_s,0.000345
weighted+remat+spectral,fixture:oc-course,run_min_s,0.000326
baseline,fixture:stdin-aarch64,compile_s,8.25
baseline,fixture:stdin-aarch64,obj_bytes,52592
baseline,fixture:stdin-aarch64,text_bytes,45428
baseline,fixture:stdin-aarch64,insns,11192
baseline,fixture:stdin-aarch64,ldr_sp,1981
baseline,fixture:stdin-aarch64,str_sp,1785
baseline,fixture:stdin-aarch64,ldp_sp,0
baseline,fixture:stdin-aarch64,stp_sp,0
baseline,fixture:stdin-aarch64,mov_imm,2623
baseline,fixture:stdin-aarch64,objects,1
baseline,fixture:stdin-aarch64,correct,1
baseline,fixture:stdin-aarch64,run_median_s,0.000411
baseline,fixture:stdin-aarch64,run_min_s,0.000383
weighted,fixture:stdin-aarch64,compile_s,8.281
weighted,fixture:stdin-aarch64,obj_bytes,62984
weighted,fixture:stdin-aarch64,text_bytes,55820
weighted,fixture:stdin-aarch64,insns,13790
weighted,fixture:stdin-aarch64,ldr_sp,3207
weighted,fixture:stdin-aarch64,str_sp,3155
weighted,fixture:stdin-aarch64,ldp_sp,0
weighted,fixture:stdin-aarch64,stp_sp,0
weighted,fixture:stdin-aarch64,mov_imm,2623
weighted,fixture:stdin-aarch64,objects,1
weighted,fixture:stdin-aarch64,correct,1
weighted,fixture:stdin-aarch64,run_median_s,0.000371
weighted,fixture:stdin-aarch64,run_min_s,0.000351
weighted+remat,fixture:stdin-aarch64,compile_s,8.424
weighted+remat,fixture:stdin-aarch64,obj_bytes,65168
weighted+remat,fixture:stdin-aarch64,text_bytes,58004
weighted+remat,fixture:stdin-aarch64,insns,14336
weighted+remat,fixture:stdin-aarch64,ldr_sp,2806
weighted+remat,fixture:stdin-aarch64,str_sp,3394
weighted+remat,fixture:stdin-aarch64,ldp_sp,0
weighted+remat,fixture:stdin-aarch64,stp_sp,0
weighted+remat,fixture:stdin-aarch64,mov_imm,3329
weighted+remat,fixture:stdin-aarch64,objects,1
weighted+remat,fixture:stdin-aarch64,correct,1
weighted+remat,fixture:stdin-aarch64,run_median_s,0.00043
weighted+remat,fixture:stdin-aarch64,run_min_s,0.000372
weighted+remat+spectral,fixture:stdin-aarch64,compile_s,8.311
weighted+remat+spectral,fixture:stdin-aarch64,obj_bytes,66224
weighted+remat+spectral,fixture:stdin-aarch64,text_bytes,59064
weighted+remat+spectral,fixture:stdin-aarch64,insns,14601
weighted+remat+spectral,fixture:stdin-aarch64,ldr_sp,2959
weighted+remat+spectral,fixture:stdin-aarch64,str_sp,3501
weighted+remat+spectral,fixture:stdin-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:stdin-aarch64,stp_sp,0
weighted+remat+spectral,fixture:stdin-aarch64,mov_imm,3334
weighted+remat+spectral,fixture:stdin-aarch64,objects,1
weighted+remat+spectral,fixture:stdin-aarch64,correct,1
weighted+remat+spectral,fixture:stdin-aarch64,run_median_s,0.000599
weighted+remat+spectral,fixture:stdin-aarch64,run_min_s,0.000534
baseline,fixture:sudoku-aarch64,compile_s,1.287
baseline,fixture:sudoku-aarch64,obj_bytes,14408
baseline,fixture:sudoku-aarch64,text_bytes,12472
baseline,fixture:sudoku-aarch64,insns,3094
baseline,fixture:sudoku-aarch64,ldr_sp,666
baseline,fixture:sudoku-aarch64,str_sp,677
baseline,fixture:sudoku-aarch64,ldp_sp,0
baseline,fixture:sudoku-aarch64,stp_sp,0
baseline,fixture:sudoku-aarch64,mov_imm,491
baseline,fixture:sudoku-aarch64,objects,1
baseline,fixture:sudoku-aarch64,correct,1
baseline,fixture:sudoku-aarch64,run_median_s,0.002403
baseline,fixture:sudoku-aarch64,run_min_s,0.001388
weighted,fixture:sudoku-aarch64,compile_s,1.34
weighted,fixture:sudoku-aarch64,obj_bytes,16328
weighted,fixture:sudoku-aarch64,text_bytes,14388
weighted,fixture:sudoku-aarch64,insns,3573
weighted,fixture:sudoku-aarch64,ldr_sp,891
weighted,fixture:sudoku-aarch64,str_sp,931
weighted,fixture:sudoku-aarch64,ldp_sp,0
weighted,fixture:sudoku-aarch64,stp_sp,0
